2 22782  82.5506  25.8572 0022709 136.8716 223.4225 13.82989677  8794
1 22782U 93055A   93308.15060376 0.00000111  00000+0  87832-4 0  2283
2 22782  82.5506  24.7683 0022747 133.1660 227.1415 13.82989996  8971
1 22782U 93055A   93308.72938615 0.00000094  00000+0  73116-4 0  2387
2 22782  82.5505  24.3095 0022825 131.5646 228.7475 13.82989917  9063
1 22782U 93055A   93309.23582270 0.00000090  00000+0  76709-4 0  2440
2 22782  82.5506  23.9085 0022831 130.2858 230.0301 13.82990050  9138
1 22782U 93055A   93310.68278090 0.00000094  00000+0  80527-4 0  2136
2 22782  82.5507  22.7624 0022966 126.2634 234.0652 13.82990334  9331
1 22782U 93055A   93311.69565152 0.00000085  00000+0  72227-4 0  2235
2 22782  82.5507  21.9599 0023120 123.5645 236.7726 13.82990403  9471
1 22782U 93055A   93312.70852139 0.00000100  00000+0  86428-4 0  2340
2 22782  82.5506  21.1573 0023165 120.8026 239.5417 13.82990751  9616
1 22782U          93313.64904369 0.00000098  00000+0  83917-4 0  2105
2 22782  82.5506  20.4123 0023234 118.1796 242.1715 13.82990888  9746
1 22782U 93055A   93313.64904370 0.00000098  00000+0  83917-4 0  2109
2 22782  82.5506  20.4123 0023234 118.1795 242.1715 13.82990888  9745
1 22782U 93055A   93314.66191362  .00000093  00000-0  79632-4 0  2106
2 22782  82.5507  19.6100 0023265 115.4347 244.9226 13.82991020  9889
1 22782U 93055A   93314.66191362 0.00000093  00000+0  79631-4 0  2508
2 22782  82.5507  19.6099 0023265 115.4346 244.9226 13.82991020  9885
1 22782U 93055A   93316.68765161 0.00000070  00000+0  59176-4 0  2110
2 22782  82.5525  18.0052 0023692 110.9300 249.4374 13.82991213 10162
1 22782U 93055A   93317.70052148 0.00000061  00000+0  50750-4 0  2139
2 22782  82.5525  17.2031 0023703 108.4225 251.9513 13.82991187 10300
1 22782U 93055A   93318.64104300 0.00000051  00000+0  41614-4 0  2140
2 22782  82.5516  16.4574 0023755 105.9438 254.4337 13.82991165 10430
1 22782U 93055A   93319.65391226 0.00000042  00000+0  33397-4 0  2157
2 22782  82.5518  15.6550 0023777 103.1617 257.2198 13.82991193 10572
1 22782U 93055A   93320.66678128  .00000033  00000-0  25012-4 0  2111
2 22782  82.5521  14.8526 0023798 100.3379 260.0455 13.82991168 10713
1 22782U          93320.66678128 0.00000033  00000+0  25011-4 0  2128
2 22782  82.5521  14.8526 0023798 100.3379 260.0455 13.82991168 10713
1 22782U 93055A   93320.66678128 0.00000033  00000+0  25011-4 0  2120
2 22782  82.5521  14.8525 0023798 100.3378 260.0455 13.82991168 10711
1 22782U 93055A   93321.67965044 0.00000040  00000+0  31204-4 0  2127
2 22782  82.5520  14.0501 0023846  97.6088 262.7794 13.82991325 10851
1 22782U 93055A   93322.62017110 0.00000078  00000+0  66526-4 0  2132
2 22782  82.5512  13.3045 0023791  95.2314 265.1636 13.82991915 10983
1 22782U 93055A   93323.63303773 0.00000077  00000+0  64674-4 0  2149
2 22782  82.5512  12.5020 0023827  92.6367 267.7523 13.82992021 11125
1 22782U 93055A   93324.64590558 0.00000098  00000+0  83811-4 0  2136
2 22782  82.5510  11.6996 0023930  90.0411 270.3507 13.82992367 11262
1 22782U 93055A   93325.65877278  .00000101  00000-0  87052-4 0  2121
2 22782  82.5509  10.8972 0023907  87.2237 273.1663 13.82992586 11406
1 22782U 93055A   93325.65877278 0.00000101  00000+0  87051-4 0  2163
2 22782  82.5509  10.8972 0023907  87.2236 273.1663 13.82992585 11404
1 22782U 93055A   93326.59929229 0.00000086  00000+0  73408-4 0  2131
2 22782  82.5503  10.1517 0023896  84.8354 275.5524 13.82992555 11530
1 22782U 93055A   93327.61215958 0.00000060  00000+0  48990-4 0  2143
2 22782  82.5501   9.3489 0023885  82.2577 278.1275 13.82992378 11673
1 22782U 93055A   93328.62502712 0.00000047  00000+0  37783-4 0  2145
2 22782  82.5505   8.5465 0023844  79.6581 280.7269 13.82992355 11815
1 22782U 93055A   93330.57841316  .00000052  00000-0  42172-4 0  2132
2 22782  82.5498   6.9986 0023854  74.2891 286.0902 13.82992608 12086
1 22782U 93055A   93330.57841316 0.00000052  00000+0  42171-4 0  2174
2 22782  82.5498   6.9985 0023854  74.2891 286.0902 13.82992608 12085
1 22782U 93055A   93331.59127973 0.00000046  00000+0  36614-4 0  2148
2 22782  82.5497   6.1959 0023860  71.5367 288.8374 13.82992614 12228
1 22782U 93055A   93332.60414642 0.00000042  00000+0  32560-4 0  2156
2 22782  82.5496   5.3932 0023861  68.8496 291.5204 13.82992623 12360
1 22782U 93055A   93333.54466534 0.00000045  00000+0  35654-4 0  2168
2 22782  82.5492   4.6477 0023879  66.3144 294.0521 13.82992722 12498
1 22782U 93055A   93334.55753149 0.00000052  00000+0  42226-4 0  2151
2 22782  82.5489   3.8449 0023898  63.6432 296.7192 13.82992912 12635
1 22782U 93055A   93335.57039712 0.00000071  00000+0  59905-4 0  2161
2 22782  82.5493   3.0421 0023807  61.0760 299.2822 13.82993272 12771
1 22782U 93055A   93336.58326189 0.00000066  00000+0  55094-4 0  2169
2 22782  82.5487   2.2397 0023864  58.1424 302.2043 13.82993338 12913
1 22782U 93055A   93337.59612746  .00000068  00000-0  56699-4 0  2152
2 22782  82.5486   1.4369 0023900  55.6311 304.7097 13.82993438 13053
1 22782U 93055A   93337.59612746 0.00000068  00000+0  56698-4 0  2183
2 22782  82.5486   1.4368 0023900  55.6310 304.7097 13.82993438 13051
1 22782U 93055A   93338.53664532 0.00000076  00000+0  64844-4 0  2167
2 22782  82.5476   0.6907 0023827  53.0333 307.3034 13.82993719 13181
1 22782U 93055A   93339.54950958 0.00000094  00000+0  80410-4 0  2177
2 22782  82.5481 359.8878 0023790  50.4572 309.8694 13.82994010 13328
1 22782U 93055A   93340.56237399 0.00000044  00000+0  34992-4 0  2177
2 22782  82.5474 359.0847 0023809  47.9792 312.3329 13.82993547 13467
1 22782U 93055A   93342.51575674  .00000035  00000-0  26724-4 0  2169
2 22782  82.5476 357.5371 0023727  42.6334 317.6642 13.82993616 13730
